step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
96,198144,1536,0.0033224015841407327,1.0,1.0,,,,,
97,200208,1552,0.0031934525269555975,1.0,1.0,0.004135214982542867,0.9375,0.9375,,
98,202272,1568,0.005207208791015911,0.8125,0.8125,,,,,
99,204336,1584,0.0036472077136292915,0.9375,0.9375,,,,,
100,206400,1600,0.003700969005679471,0.9375,0.9375,,,,,
101,208464,1616,0.006933188645885397,0.8125,0.8125,,,,,
102,210528,1632,0.004283312113570463,0.9375,0.9375,,,,,
103,212592,1648,0.0037626391145742775,0.9375,0.9375,,,,,
104,214656,1664,0.008873393766237329,0.8125,0.8125,,,,,
105,216720,1680,0.006611958423944892,0.8125,0.8125,0.0033561140320755595,1.0,1.0,,
106,218784,1696,0.004027821764740895,0.9375,0.9375,,,,,
107,220848,1712,0.005142381721499499,0.875,0.875,,,,,
108,222912,1728,0.0032572234557222335,1.0,1.0,,,,,
109,224976,1744,0.0033566339276273937,1.0,1.0,,,,,
110,227040,1760,0.003084459520862965,1.0,1.0,,,,,
111,229104,1776,0.004250966431687295,0.875,0.875,,,,,
112,231168,1792,0.004135385837344607,0.9375,0.9375,,,,,
113,233232,1808,0.003179128204185741,1.0,1.0,0.0037276000797819677,0.9375,0.9375,,
114,235296,1824,0.003857928305844205,0.9375,0.9375,,,,,
115,237360,1840,0.004738418054344353,0.875,0.875,,,,,
116,239424,1856,0.003986588233356587,0.9375,0.9375,,,,,
117,241488,1872,0.003750487787206296,0.9375,0.9375,,,,,
118,243552,1888,0.004391748244888592,0.9375,0.9375,,,,,
119,245616,1904,0.005357459004395075,0.8125,0.8125,,,,,
120,247680,1920,0.005693410487911889,0.8125,0.8125,,,,,
121,249744,1936,0.0034470074507595132,0.9375,0.9375,0.004114121974261266,0.875,0.875,,
122,251808,1952,0.005584787873970369,0.8125,0.8125,,,,,
123,253872,1968,0.0034521218841323227,1.0,1.0,,,,,
124,255936,1984,0.003473844979995479,0.9375,0.9375,,,,,
125,258000,2000,0.003942229452262134,0.875,0.875,,,,,
126,260064,2016,0.002775022166519277,1.0,1.0,,,,,
127,262128,2032,0.0037837582196284265,0.9375,0.9375,,,,,
